Step:,TDError,NNLose
1,621.47424,2.2038662
2,961.5084,77.5533
3,793.85767,40.04016
4,1348.6902,545.75055
5,760.1478,40.607174
6,536.3262,1.6515783
7,919.04926,77.466515
8,740.9175,39.541443
9,628.1555,20.682705
10,807.9187,59.16227
11,1381.3049,564.94324
12,803.2539,58.744427
13,1048.1307,508.16046
14,623.8888,39.229088
15,736.65796,58.032707
16,943.5498,488.78705
17,739.34753,57.595036
18,423.0494,1.2629399
19,620.85815,39.017845
20,1202.3335,545.5387
21,778.412,76.43558
22,492.06683,19.862484
23,853.0647,95.86859
24,669.292,57.018894
25,584.8246,39.11086
26,429.52072,19.487738
27,421.32825,19.835106
28,1015.4618,524.9294
29,392.0787,20.030104
30,324.36316,0.8746431
31,478.97772,39.43511
32,542.094,56.631775
33,907.50586,505.84976
34,272.8579,0.71923053
35,578.34937,57.02249
36,251.58478,0.6779098
37,864.63116,504.89792
38,233.95422,0.6302668
39,1627.507,1044.12
40,302.08075,19.088373
41,420.59628,38.36098
42,494.62582,57.36538
43,1191.3086,580.12213
44,576.38806,76.000595
45,187.56024,0.5481534
46,152.01025,0.44875345
47,179.86627,0.5393227
48,197.9147,0.5810583
49,331.89502,37.833435
50,765.20746,504.26968
51,335.82437,38.171356
52,325.08084,38.420998
53,649.7569,485.47757
54,596.38776,484.69095
55,117.66954,0.4035139
56,482.48682,74.76495
57,378.37036,55.701912
58,285.63583,37.436424
59,588.6168,93.941605
60,772.0834,521.9084
61,267.31937,37.981728
62,451.78528,75.757324
63,150.27469,19.191202
64,761.19507,522.08325
65,734.2754,521.4722
66,826.74255,540.68604
67,625.2544,504.68073
68,164.07013,18.70092
69,123.754555,18.627592
70,125.456665,19.246801
71,218.47473,37.89277
72,12.316591,0.3629936
73,34.327847,0.40867138
74,109.93804,19.548763
75,895.99286,558.97205
76,-1.5738921,0.3134024
77,92.88979,19.124691
78,500.88254,483.4792
79,259.1361,55.45053
80,586.1832,502.0398
81,66.086494,18.95601
82,82.90924,19.160587
83,1067.8628,986.628
84,1262.8854,1023.6231
85,271.62115,55.485912
86,575.80084,501.37994
87,-24.527843,0.37758142
88,959.59766,965.6968
89,619.55524,519.29816
90,33.843784,18.635698
91,30.170475,18.337109
92,526.8369,502.94537
93,14.294682,18.729877
94,130.13489,36.970963
95,280.69998,74.96443
96,300.67334,73.29005
97,1003.6718,983.09344
98,3.5139236,19.42922
99,596.54095,519.96783
100,486.66516,37.449543
101,371.01987,18.69898
102,464.10013,37.525032
103,553.0928,55.706154
104,545.4491,56.599083
105,241.98819,0.60924256
106,809.4832,500.8628
107,315.29977,18.99288
108,210.44945,0.52238023
109,390.11578,37.54553
110,660.6751,483.33215
111,446.98465,55.290134
112,148.06894,0.4119628
113,232.9203,19.070793
114,136.73247,0.402552
115,316.48593,37.67665
116,796.7357,518.82855
117,195.82587,18.756538
118,282.3714,36.954506
119,241.74532,36.496777
120,323.25964,55.436306
121,243.76218,37.323063
122,829.76544,536.082
123,216.33707,37.085274
124,-22.535439,0.36104512
125,104.610825,18.957897
126,84.75464,18.592981
127,375.40228,74.191666
128,39.406105,18.729471
129,40.442184,18.592026
130,545.11237,499.51297
131,47.356285,18.740826
132,43.789593,18.780191
133,101.66884,36.831146
134,19.723091,18.889189
135,528.8315,499.6499
136,28.291027,18.607687
137,618.96686,517.2523
138,186.50577,54.15018
139,-100.76318,0.36472076
140,776.55664,554.06006
141,557.53485,517.53296
142,69.7404,36.992832
143,171.59608,55.158882
144,1786.4136,1514.5269
145,-20.8815,18.919365
146,-42.427605,18.407597
147,-41.04049,18.63272
148,150.46132,55.06782
149,653.10547,535.3033
150,45.976646,36.611027
151,-157.58418,0.44408274
152,-64.561356,18.777859
153,234.14174,72.327126
154,-85.57959,18.287
155,130.66669,54.68802
156,-63.497513,18.678549
157,1113.0778,1016.9319
158,319.3885,91.18442
159,6.8830185,35.918648
160,8.525856,36.681694
161,6.9418945,37.179623
162,-200.85362,0.5662582
163,-113.426834,18.61388
164,2.021576,36.72922
165,-5.712326,37.077297
166,102.94957,55.097713
167,191.8939,72.86902
168,380.7568,108.95342
169,-198.14511,0.5504188
170,-40.984764,36.265217
171,-103.37407,18.894863
172,493.61118,515.4891
173,481.07654,517.4194
174,250.72527,89.61006
175,-214.39197,0.6009789
176,269.30408,480.15616
177,-253.14723,0.72973573
178,-106.11618,18.565254
179,-125.24095,18.469604
180,445.31488,516.41626
181,625.0854,551.9619
182,-250.54474,0.6883432
183,63.2917,54.381607
184,-155.43758,18.652494
185,329.37704,497.7084
186,-143.40915,18.547127
187,-175.1943,18.399254
188,-67.822815,35.99963
189,-53.25363,37.04416
190,-56.02674,37.19646
191,436.83282,127.68068
192,-136.74284,18.748268
193,368.42126,501.3005
194,-50.49272,36.72844
195,38.535717,54.71529
196,-146.47762,18.629662
197,352.23715,501.2013
198,-58.92965,36.21642
199,-176.93225,19.139307
200,921.69684,73.31508
201,952.0104,74.196304
202,1302.4403,534.56104
203,1014.0687,481.22427
204,1664.6259,998.47003
205,676.7013,37.22673
206,553.97253,18.513603
207,1229.0857,533.9284
208,476.50348,18.243366
209,586.8904,36.619293
210,440.09042,18.903288
211,305.23077,0.79703385
212,878.2443,497.00153
213,525.46606,54.379665
214,321.32812,18.501396
215,799.2111,496.6988
216,360.82983,35.63678
217,411.57208,53.75254
218,222.16283,18.03412
219,281.24414,36.210396
220,352.88104,53.215157
221,120.00721,18.206589
222,1362.7234,1029.1289
223,-35.991325,0.35347748
224,551.2526,494.8978
225,227.6773,53.360123
226,193.65692,53.88311
227,468.12177,494.7049
228,1215.5948,1028.1515
229,-160.85275,0.48213357
230,-94.19456,18.122484
231,-91.74075,17.99009
232,-116.112015,18.337313
233,172.0393,70.96324
234,-144.5568,18.505987
235,-108.52764,18.134535
236,-131.42986,18.312012
237,70.857666,53.35869
238,1054.3682,1008.42847
239,1051.6006,1006.9298
240,-46.72412,36.09698
241,865.4048,970.6754
242,-40.6371,35.813076
243,121.72032,70.6278
244,925.037,988.14667
245,-258.8558,0.7206105
246,-63.18789,35.778126
247,-176.03139,18.367702
248,-56.920666,35.25686
249,-180.36896,18.353407
250,-267.3454,0.7088683
251,136.54062,69.8951
252,627.6989,546.2171
253,-87.28883,35.718544
254,195.74443,87.767944
255,408.22894,511.27017
256,-104.527596,36.105797
257,-1.7511292,52.958282
258,405.78882,513.5861
259,285.1181,104.79874
260,310.53076,494.99796
261,863.6629,987.1494
262,-208.94476,17.81181
263,-110.32269,35.455536
264,-228.5209,18.275414
265,-315.40735,1.0973911
266,-84.53851,36.069763
267,154.1824,476.28055
268,-144.9318,36.13411
269,-209.86539,18.551502
270,-160.94478,18.737875
271,-96.84595,35.93904
272,313.21854,493.2359
273,368.30432,510.8401
274,-278.9959,0.9738928
275,-102.58159,36.05487
276,-217.03574,18.705523
277,-216.5093,18.495522
278,-159.02026,36.32824
279,-104.31467,35.594673
280,-105.86267,35.89806
281,-87.601654,35.75554
